Id,City,Country,Latitude,Longitude,Time,Description,Max Temp,Humidity,Wind Speed,Cloudiness,Rain,Snow,Hotel
201,Kumluca,TR,36.3703,30.2869,2021-04-18 15:29:51,overcast clouds,74.44,45,1.25,85,0,0,TurkuazKöy
208,Gigmoto,PH,13.7796,124.39,2021-04-18 15:29:55,heavy intensity rain,79.09,91,34.38,100,0,0,Cj's Travellers Inn
210,Cidreira,BR,-30.1811,-50.2056,2021-04-18 15:29:56,few clouds,73.26,78,8.43,15,0,0,Hotel Castelo
211,Ilo,PE,-17.6394,-71.3375,2021-04-18 15:29:56,broken clouds,70.03,72,6.78,63,0,0,Torreblanca Hotel
218,Richards Bay,ZA,-28.783,32.0377,2021-04-18 15:28:16,clear sky,73.22,62,14.99,0,0,0,BON Hotel Waterfront Richards Bay
222,Sorong,ID,-0.8833,131.25,2021-04-18 15:29:14,overcast clouds,78.8,84,3.89,94,0,0,waigo splash hotel
223,Souillac,MU,-20.5167,57.5167,2021-04-18 15:30:00,light rain,75.2,94,16.11,75,0,0,Shanti Maurice Resort & Spa
229,Vao,NC,-22.6667,167.4833,2021-04-18 15:30:03,broken clouds,76.15,80,16.26,80,0,0,Hotel Kou-Bugny
230,Carnarvon,AU,-24.8667,113.6333,2021-04-18 15:30:03,clear sky,76.26,68,18.07,0,0,0,Hospitality Carnarvon
246,Port Hedland,AU,-20.3167,118.5667,2021-04-18 15:30:10,clear sky,75.2,69,4.61,4,0,0,The Esplanade Hotel
262,Mulegé,MX,26.8833,-111.9833,2021-04-18 15:30:18,clear sky,76.17,30,3.91,0,0,0,Casa Granada
267,Mahina,PF,-17.5065,-149.489,2021-04-18 15:30:20,few clouds,77.0,78,2.3,20,0,0,Guest Beach Bungalow Tahiti
270,Hong Kong,HK,22.2855,114.1577,2021-04-18 15:26:24,overcast clouds,73.0,78,3.0,100,0,0,Mini Hotel Central
282,Bengkulu,ID,-3.8004,102.2655,2021-04-18 15:30:26,broken clouds,75.25,89,3.89,76,0,0,Grage Hotel Bengkulu
283,Dicabisagan,PH,17.0818,122.4157,2021-04-18 15:30:26,overcast clouds,74.8,87,16.08,100,0,0,Nancy Montanes Bernardo
287,Port Keats,AU,-14.25,129.55,2021-04-18 15:30:28,broken clouds,75.02,40,8.46,81,0,0,TDC Village (Hundred Man Camp)
294,Letlhakane,BW,-21.4167,25.5833,2021-04-18 15:30:30,clear sky,70.59,31,8.57,0,0,0,Motswedi Hotel P650
298,Kabinda,CD,-6.1333,24.4833,2021-04-18 15:30:32,overcast clouds,73.56,82,4.65,94,0,0,Village Mianda Mutole
307,Mackay,AU,-21.15,149.2,2021-04-18 15:30:36,broken clouds,71.6,88,6.91,75,0,0,International Lodge Motel
309,Wadi Maliz,TN,36.4681,8.5495,2021-04-18 15:30:37,few clouds,73.4,17,2.3,20,0,0,HOPITAL
314,Bubaque,GW,11.2833,-15.8333,2021-04-18 15:30:39,overcast clouds,77.67,69,13.69,95,0,0,"Casa Dora, Bubaque"
327,Biak,ID,-0.9131,122.8766,2021-04-18 15:30:44,overcast clouds,74.37,80,3.09,100,0,0,Penginapan Kim
328,Kalangala,UG,-0.3089,32.225,2021-04-18 15:30:45,few clouds,75.2,83,17.27,20,0,0,Ssese Habitat Resort
329,Havelock,US,34.8791,-76.9013,2021-04-18 15:30:45,few clouds,72.0,43,4.61,20,0,0,Sherwood Motel
332,Lingao,CN,19.9103,109.6859,2021-04-18 15:30:46,broken clouds,74.59,89,10.45,61,0,0,Lingao Ditai Inn
339,Ambilobe,MG,-13.2,49.05,2021-04-18 15:30:49,overcast clouds,76.8,80,5.01,95,0,0,Hôtel & Restaurant DIANA Ambilobe
344,Nador,MA,35.174,-2.9287,2021-04-18 15:30:52,clear sky,73.4,46,8.05,0,0,0,Hôtel La Giralda
345,Barcelos,PT,41.5388,-8.6151,2021-04-18 15:30:52,clear sky,71.01,40,8.05,0,0,0,Hotel Do Terço
350,Kupang,ID,-10.1667,123.5833,2021-04-18 15:30:54,broken clouds,77.74,78,8.3,66,0,0,Hotel On The Rock by Prasanthi
355,Heraclea,TR,37.5133,34.0467,2021-04-18 15:30:56,overcast clouds,73.47,28,10.38,100,0,0,Hotel Fuat Bey
356,Basco,PH,20.4487,121.9702,2021-04-18 15:30:57,broken clouds,74.41,65,30.47,81,0,0,Nathaniel's Lodge
362,Sarishābāri,BD,24.7333,89.8333,2021-04-18 15:30:59,scattered clouds,78.26,69,14.7,27,0,0,Miraj Hasan Mehedi
366,Tshela,CD,-4.9833,12.9333,2021-04-18 15:31:01,moderate rain,77.02,93,2.17,100,0,0,Hotel Mirador
370,Vanimo,PG,-2.6741,141.3028,2021-04-18 15:31:02,overcast clouds,76.1,87,3.09,88,0,0,Vahmoneh Lodge Vanimo
375,Aguilares,AR,-27.4338,-65.6143,2021-04-18 15:31:05,overcast clouds,70.0,84,3.0,90,0,0,Hospedaje Patricio
379,Kroya,ID,-7.6331,109.2461,2021-04-18 15:31:06,broken clouds,77.76,85,3.02,78,0,0,RUSTANTO Fam
380,Matara,LK,5.9485,80.5353,2021-04-18 15:31:07,overcast clouds,79.68,81,6.29,93,0,0,Amaloh Boutique Resort
383,Nouadhibou,MR,20.931,-17.0347,2021-04-18 15:31:08,scattered clouds,78.8,53,17.27,28,0,0,El Medina
385,Antalaha,MG,-14.9003,50.2788,2021-04-18 15:31:09,moderate rain,75.72,91,11.21,100,0,0,Hotel Vitasoa
389,Sibolga,ID,1.7427,98.7792,2021-04-18 15:31:10,broken clouds,77.07,88,2.66,77,0,0,Hotel Syariah CN Darussalam
391,Cabo San Lucas,MX,22.8909,-109.9124,2021-04-18 15:31:11,clear sky,75.99,38,3.44,1,0,0,Hotel Tesoro Los Cabos
395,Coari,BR,-4.085,-63.1414,2021-04-18 15:31:12,light rain,76.08,94,2.37,99,0,0,HOTEL ALEX FLAT
401,Noumea,NC,-22.2763,166.4572,2021-04-18 15:31:15,clear sky,77.0,94,2.3,0,0,0,Hôtel Le Lagon
408,Beşikdüzü,TR,41.052,39.2284,2021-04-18 15:31:18,broken clouds,71.6,46,4.61,75,0,0,YKT
411,Meulaboh,ID,4.1363,96.1285,2021-04-18 15:31:19,overcast clouds,79.54,79,1.88,95,0,0,Kost Pria
423,Cabedelo,BR,-6.9811,-34.8339,2021-04-18 15:31:24,broken clouds,77.0,94,5.75,75,0,0,Hotel Pigalle
424,Pandan,PH,14.0453,124.1694,2021-04-18 15:31:24,heavy intensity rain,78.93,91,36.17,100,0,0,Bonifacio Lodge
432,Marabu,MY,4.4148,114.0089,2021-04-18 15:29:09,scattered clouds,77.0,83,8.05,40,0,0,"Mega Hotel, Miri"
436,Madang,PG,-5.2246,145.7966,2021-04-18 15:31:29,overcast clouds,74.59,86,5.1,100,0,0,Comfort Inn Hotel
439,Long Xuyen,VN,10.3833,105.4167,2021-04-18 15:31:30,scattered clouds,77.0,100,2.3,40,0,0,Nhà Nghỉ Sài Gòn Ngày Đêm
442,Lárdos,GR,36.0942,28.0157,2021-04-18 15:31:31,few clouds,75.2,38,11.5,20,0,0,Lindos Princess Beach Hotel
448,Departamento de Maldonado,UY,-34.6667,-54.9167,2021-04-18 15:31:34,scattered clouds,75.0,73,5.75,40,0,0,La Cimarrona
452,Ambanja,MG,-13.6833,48.45,2021-04-18 15:31:35,overcast clouds,76.57,90,3.38,92,0,0,Hotel Salama and Fast Food
453,Padang,ID,-0.9492,100.3543,2021-04-18 15:31:36,broken clouds,77.45,87,3.62,60,0,0,Mercure Padang
456,Calmeca,MX,18.6333,-98.6333,2021-04-18 15:31:37,clear sky,77.0,48,4.61,1,0,0,Casa Mejia La Baratita
459,Fayaoué,NC,-20.65,166.5333,2021-04-18 15:31:39,scattered clouds,78.21,81,10.07,35,0,0,Chez Dydyce Guesthouse
460,Ixtapa,MX,20.7,-105.2,2021-04-18 15:27:45,clear sky,77.0,73,3.44,1,0,0,Hotel Plaza Providencia
470,Wanning,CN,18.8003,110.3967,2021-04-18 15:31:43,broken clouds,75.65,89,3.47,54,0,0,Paradise Hotel
472,Rocha,UY,-34.4833,-54.3333,2021-04-18 15:31:44,clear sky,75.34,58,7.83,8,0,0,Beleza Pura B&B
483,Pitimbu,BR,-7.4706,-34.8086,2021-04-18 15:31:48,broken clouds,77.0,94,5.75,75,0,0,Reserva do Abiaí
488,Carutapera,BR,-1.195,-46.02,2021-04-18 15:31:50,moderate rain,77.61,92,4.45,100,0,0,Lidera
497,Zhanakorgan,KZ,43.9098,67.2495,2021-04-18 15:31:54,overcast clouds,70.38,19,9.28,97,0,0,"""Ақпалас"" қонақ үйі"
498,Cauquenes,CL,-35.9671,-72.3225,2021-04-18 15:31:55,few clouds,71.35,33,0.65,21,0,0,Viña Don Heraldo
504,Luena,AO,-11.7833,19.9167,2021-04-18 15:30:02,scattered clouds,77.0,65,4.61,40,0,0,Hotel Kandamba
512,Puerto Madryn,AR,-42.7692,-65.0385,2021-04-18 15:27:51,broken clouds,70.57,45,14.5,55,0,0,Hotel Tolosa
517,Maxixe,MZ,-23.8597,35.3472,2021-04-18 15:32:01,few clouds,75.2,60,6.82,20,0,0,Oceano
527,Bintulu,MY,3.1667,113.0333,2021-04-18 15:32:06,scattered clouds,75.2,94,3.44,40,0,0,900 Boutique INN
530,Olinda,BR,-8.0089,-34.8553,2021-04-18 15:32:07,mist,75.2,83,6.91,75,0,0,Hotel Albergue de Olinda
536,Dunmore Town,BS,25.5,-76.65,2021-04-18 15:32:09,overcast clouds,77.77,81,10.22,97,0,0,Coral Sands Hotel
543,Bambous Virieux,MU,-20.3428,57.7575,2021-04-18 15:32:13,light rain,77.0,94,16.11,75,0,0,Casa Tia Villa
546,Los Llanos de Aridane,ES,28.6585,-17.9182,2021-04-18 15:32:14,few clouds,71.6,56,13.8,20,0,0,Valle Aridane
547,Kirakira,SB,-10.4544,161.9205,2021-04-18 15:32:14,broken clouds,79.45,84,4.94,65,0,0,SanBiz Lodge
555,Miracema do Tocantins,BR,-9.5618,-48.3967,2021-04-18 15:32:17,overcast clouds,77.25,84,3.38,99,0,0,Miami Apart Hotel
556,Almeirim,BR,-1.5233,-52.5817,2021-04-18 15:32:18,light rain,72.46,97,4.05,100,0,0,Ricácio Hotel
559,Siavonga,ZM,-16.5382,28.7088,2021-04-18 15:32:19,overcast clouds,76.41,50,8.21,95,0,0,Lavongora Waterfront Lodge
562,Tete,MZ,-16.1564,33.5867,2021-04-18 15:32:20,broken clouds,78.01,57,9.22,75,0,0,Zambeze Paraíso Misterioso
572,Plettenberg Bay,ZA,-34.0527,23.3716,2021-04-18 15:32:24,clear sky,75.6,36,5.39,0,0,0,Thanda Vista B&B
575,Lanquín,GT,15.5667,-89.9667,2021-04-18 15:32:26,broken clouds,71.6,83,6.91,75,0,0,Yaxlik River Lodge
579,Tsabong,BW,-26.0217,22.401,2021-04-18 15:32:27,clear sky,77.68,28,5.06,7,0,0,Springbok Motel
586,Columbia,US,34.0007,-81.0348,2021-04-18 15:27:40,broken clouds,71.01,32,3.44,75,0,0,Hampton Inn Columbia-Downtown Historic District
597,Grand Baie,MU,-20.0182,57.5802,2021-04-18 15:32:34,overcast clouds,77.0,84,5.01,100,0,0,Trou aux Biches Beachcomber Golf Resort & Spa
602,Reque,PE,-6.8656,-79.8178,2021-04-18 15:32:36,clear sky,77.0,65,4.61,0,0,0,Villas de Bouganville
606,São Félix do Xingu,BR,-6.6447,-51.995,2021-04-18 15:32:38,overcast clouds,77.4,80,2.93,100,0,0,Rio Xingu Camping
608,Isangel,VU,-19.55,169.2667,2021-04-18 15:32:39,heavy intensity rain,77.32,86,8.25,31,0,0,Volcano Sea View Tree House
618,Ambon City,ID,-3.6954,128.1814,2021-04-18 15:32:43,scattered clouds,77.0,94,9.22,40,0,0,Swiss-Belhotel Ambon
619,Goma,CD,-1.6792,29.2228,2021-04-18 15:32:44,light rain,73.4,73,9.22,75,0,0,Hotel la Versailles Goma
627,Kasongo,CD,-4.45,26.6667,2021-04-18 15:32:48,light rain,74.32,89,3.87,89,0,0,Guest Hôtel
628,Lata,PT,40.1629,-8.3327,2021-04-18 15:32:48,few clouds,75.99,45,9.22,20,0,0,Casa Maquia
646,Apac,UG,1.9756,32.5386,2021-04-18 15:32:55,overcast clouds,73.62,69,3.42,100,0,0,Double Duez Apac
650,Yangjiang,CN,21.85,111.9667,2021-04-18 15:32:57,overcast clouds,71.91,83,9.62,100,0,0,HUALUXE Yangjiang City Center
671,Jacareacanga,BR,-6.2222,-57.7528,2021-04-18 15:33:06,overcast clouds,74.7,95,2.57,100,0,0,Casa do Ian😎
677,Palauig,PH,15.435,119.9045,2021-04-18 15:33:08,overcast clouds,79.88,79,2.86,93,0,0,Myhousebythesea
680,Dingle,PH,10.9995,122.6711,2021-04-18 15:33:09,overcast clouds,77.56,73,3.4,100,0,0,SEGAYA PROPERTY
682,Cairns,AU,-16.9167,145.7667,2021-04-18 15:30:50,light rain,75.2,94,12.66,90,0,0,Mantra Trilogy Cairns
687,Mareeba,AU,-17.0,145.4333,2021-04-18 15:33:11,overcast clouds,75.2,94,12.66,90,0,0,Trinity Plains Tourist Park
702,Marawi,PH,7.9986,124.2928,2021-04-18 15:33:18,overcast clouds,75.0,86,8.01,100,0,0,Derogongan Residence
710,Auki,SB,-8.7676,160.7034,2021-04-18 15:33:22,overcast clouds,77.4,87,3.22,89,0,0,Auki Motel
722,Gorgan,IR,36.8387,54.4348,2021-04-18 15:33:27,clear sky,78.8,44,4.61,0,0,0,Khayyam Motel
723,Pangai,TO,-19.8,-174.35,2021-04-18 15:33:27,overcast clouds,77.67,67,8.75,96,0,0,Ha'apai Beach Resort
728,Gazojak,TM,41.1875,61.4036,2021-04-18 15:33:29,broken clouds,76.23,12,3.67,76,0,0,In gowy adamlaryñ yaśayan oyi
739,Boyolangu,ID,-8.1181,111.8935,2021-04-18 15:33:34,broken clouds,74.23,90,1.39,68,0,0,Yos ega cv
746,Marsh Harbour,BS,26.5412,-77.0636,2021-04-18 15:33:37,overcast clouds,79.54,72,13.8,98,0,0,Abaco Beach Resort
747,Cervo,ES,43.6702,-7.4101,2021-04-18 15:33:37,overcast clouds,70.0,33,5.01,100,0,0,Hotel Spa Galatea
748,Agüimes,ES,27.9054,-15.4461,2021-04-18 15:33:38,few clouds,72.0,56,29.93,20,0,0,Hotel Villa de Aguimes
752,Amahai,ID,-3.3333,128.9167,2021-04-18 15:33:39,overcast clouds,78.49,82,0.67,99,0,0,HOTEL ISABELA
753,Morón,AR,-34.6534,-58.6198,2021-04-18 15:33:40,scattered clouds,72.0,80,5.99,31,0,0,Hotel Morón
756,Lukang,TW,24.0567,120.4352,2021-04-18 15:33:41,broken clouds,70.0,60,9.22,75,0,0,二鹿行館 Lu Kang Bed and Breakbast
767,Luwuk,ID,-0.9516,122.7875,2021-04-18 15:33:45,overcast clouds,75.2,84,3.47,100,0,0,Hotel Santika Luwuk
768,Tapes,BR,-30.6733,-51.3958,2021-04-18 15:33:45,broken clouds,74.95,66,12.17,78,0,0,Cabanas Camping Union
773,Tomohon,ID,1.3346,124.8392,2021-04-18 15:33:47,few clouds,75.2,94,1.14,20,0,0,Gardenia Country Inn
774,Yala,TH,6.3333,101.25,2021-04-18 15:33:48,light rain,74.93,94,2.82,100,0,0,งานแต่ง Murnee - Wahid
780,Inhambane,MZ,-23.865,35.3833,2021-04-18 15:33:50,few clouds,75.2,60,7.61,20,0,0,Oceano
781,Limbang,MY,4.75,115.0,2021-04-18 15:33:11,broken clouds,77.0,88,2.3,75,0,0,Purnama Hotel
788,Thanh Hoa,VN,19.8,105.7667,2021-04-18 15:33:53,overcast clouds,74.01,96,3.2,100,0,0,KHÁCH SẠN NGỌC LY 8
