ID,City,Country,Latitude,Longitude,Time,Description,Max Temp,Humidity,Wind Speed,Cloudiness,Rain,Snow,Hotel
744,Bangolo,CI,7.0069,-7.475,2021-01-09 20:46:23,light rain,77.34,71,3.11,7,0.41,0.0,Résidence hôtel yekoula
777,Manggar,ID,-2.8833,108.2667,2021-01-09 20:48:43,light rain,78.66,84,13.58,94,0.32,0.0,Guest Hotel
785,Fougamou,GA,-1.2154,10.5838,2021-01-09 20:48:44,light rain,74.79,92,2.75,13,0.13,0.0,Résidence d'Hôtes Bapedy
798,Mananjary,MG,-21.2167,48.3333,2021-01-09 20:48:48,light rain,76.19,88,4.83,85,0.21,0.0,Vahiny Lodge
804,Trincomalee,LK,8.5711,81.2335,2021-01-09 20:47:01,moderate rain,76.91,87,2.62,100,1.68,0.0,Welcombe Hotel
823,Lethem,GY,3.3803,-59.7968,2021-01-09 20:48:53,moderate rain,84.45,67,3.76,66,1.153,0.0,Savannah Inn
824,Soledade,BR,-28.8183,-52.5103,2021-01-09 20:48:53,moderate rain,84.2,48,6.91,75,2.66,0.0,Pousada Da Gringa
869,Rodrigues Alves,BR,-7.7379999999999995,-72.6509,2021-01-09 20:49:03,light rain,89.6,66,2.3,40,0.78,0.0,Pousada Aconchego
886,Samarai,PG,-10.6167,150.6667,2021-01-09 20:47:24,light rain,82.49,76,6.96,100,0.22,0.0,Nuli Sapi
895,Kasane,BW,-17.8167,25.15,2021-01-09 20:49:09,light rain,70.63,92,2.75,100,0.56,0.0,The Old House
920,Bima,ID,-8.4667,118.7167,2021-01-09 20:46:32,light rain,77.5,84,0.89,99,0.12299999999999997,0.0,Lambitu Hotel
921,Ciudad Bolivar,VE,8.1222,-63.5497,2021-01-09 20:49:16,moderate rain,83.26,66,10.78,45,2.68,0.0,Hotel Edi
961,Point Pedro,LK,9.8167,80.2333,2021-01-09 20:49:26,moderate rain,78.13,86,6.64,100,1.1,0.0,Gtr homes
962,Altamira,BR,-3.2033,-52.2064,2021-01-09 20:49:26,moderate rain,78.84,92,2.1,99,2.526,0.0,Requinte Hotel
972,Kawalu,ID,-7.3817,108.2082,2021-01-09 20:46:55,moderate rain,74.21,87,0.49,100,1.8088,0.0,KOSAN UNGU UNSIK
1003,Kuliyapitiya,LK,7.4688,80.0401,2021-01-09 20:49:35,moderate rain,75.2,94,3.44,20,1.33,0.0,Rest House
